Farm_ID,Crop_Type,Farm_Area_acres,Irrigation_Type,Fertilizer_Used_tons,Pesticide_Used_kg,Yield_tons,Soil_Type,Season,Water_Usage_cubic_meters,Suitability
FARM_0001,Wheat,11.94,Rain-fed,3.71,13.7,23.98,Loamy,Kharif,8932.58,Suitable
FARM_0002,Cotton,11.71,Canal,2.58,1.02,32.79,Loamy,Kharif,2068.49,Suitable
FARM_0003,Sugarcane,29.87,Tube-well,4.07,0.63,207.63,Alluvial,Rabi,8077.61,Suitable
FARM_0004,Maize,47.9,Tube-well,1.75,2.31,232.62,Clay,Kharif,1057.49,Not Suitable
FARM_0005,Sugarcane,23.51,Canal,0.71,18.48,117.72,Clay,Zaid,880.12,Not Suitable
FARM_0006,Sugarcane,4.41,Tube-well,3.34,15.57,33.98,Clay,Zaid,9853.69,Not Suitable
FARM_0007,Wheat,32.15,Rain-fed,1.89,7.72,78.47,Alluvial,Rabi,2174.12,Suitable
FARM_0008,Wheat,36.73,Tube-well,0.9,7.9,122.53,Black,Zaid,9896.28,Suitable
FARM_0009,Sugarcane,12.22,Rain-fed,0.26,6.65,56.37,Sandy,Kharif,2750.63,Not Suitable
FARM_0010,Sugarcane,25.46,Tube-well,4.43,13.04,108.72,Clay,Zaid,1514.43,Not Suitable
FARM_0011,Sugarcane,29.64,Rain-fed,4.5,8.29,248.63,Black,Zaid,2271.28,Suitable
FARM_0012,Sugarcane,43.19,Canal,0.85,3.62,279.13,Alluvial,Kharif,6836.76,Suitable
FARM_0013,Cotton,13.32,Drip,2.81,18.88,23.03,Alluvial,Zaid,6834.81,Not Suitable
FARM_0014,Sugarcane,15.38,Rain-fed,0.87,0.56,108.5,Clay,Kharif,7248.71,Not Suitable
FARM_0015,Sugarcane,15.62,Canal,3.23,12.37,113.4,Sandy,Zaid,1613.11,Not Suitable
FARM_0016,Sugarcane,16.88,Canal,0.2,18.62,128.15,Black,Zaid,8799.35,Not Suitable
FARM_0017,Maize,44.02,Canal,4.74,2.17,109.63,Sandy,Kharif,4911.31,Not Suitable
FARM_0018,Sugarcane,24.29,Tube-well,2.79,5.67,136.78,Sandy,Zaid,8737.09,Not Suitable
FARM_0019,Rice,16.27,Tube-well,4.98,13.17,74.24,Black,Zaid,4437.19,Suitable
FARM_0020,Wheat,17.57,Tube-well,2.98,4.99,34.62,Sandy,Kharif,2280.15,Not Suitable
FARM_0021,Wheat,43.12,Canal,0.45,5.14,99.79,Sandy,Kharif,6722.88,Not Suitable
FARM_0022,Rice,39.45,Drip,4.06,4.21,167.73,Black,Kharif,1059.62,Suitable
FARM_0023,Cotton,3.65,Drip,3.3,13.1,10.79,Alluvial,Zaid,700.07,Suitable
FARM_0024,Wheat,27.28,Tube-well,0.79,4.08,106.36,Sandy,Kharif,4680.02,Not Suitable
FARM_0025,Wheat,32.96,Canal,2.75,0.79,118.94,Alluvial,Kharif,1023.3,Suitable
FARM_0026,Rice,24.59,Drip,4.34,18.1,66.58,Sandy,Rabi,1729.91,Not Suitable
FARM_0027,Cotton,21.73,Drip,4.79,19.91,63.82,Clay,Rabi,5602.11,Not Suitable
FARM_0028,Rice,48.47,Rain-fed,2.94,11.07,140.84,Sandy,Kharif,7504.96,Not Suitable
FARM_0029,Sugarcane,48.08,Tube-well,0.49,4.12,328.92,Alluvial,Kharif,5990.85,Not Suitable
FARM_0030,Rice,13.06,Canal,3.01,12.58,62.7,Alluvial,Zaid,4250.33,Suitable
FARM_0031,Sugarcane,33.82,Rain-fed,1.64,5.68,226.54,Clay,Kharif,1395.69,Not Suitable
FARM_0032,Cotton,23.46,Canal,4.99,19.92,45.19,Clay,Kharif,825.28,Not Suitable
FARM_0033,Maize,44.08,Rain-fed,1.91,3.58,194.78,Sandy,Kharif,8354.08,Not Suitable
FARM_0034,Sugarcane,41.04,Canal,1.57,13.44,174.2,Black,Zaid,9395.41,Suitable
FARM_0035,Wheat,14.81,Tube-well,1.13,7.19,56.97,Loamy,Rabi,6906.22,Suitable
FARM_0036,Sugarcane,5.52,Rain-fed,2.18,5.9,40.3,Alluvial,Kharif,135.1,Not Suitable
FARM_0037,Maize,35.58,Drip,2.85,2.68,155.87,Sandy,Zaid,9456.0,Not Suitable
FARM_0038,Rice,29.54,Canal,0.83,2.99,175.36,Black,Rabi,3151.76,Suitable
FARM_0039,Wheat,13.23,Tube-well,0.6,15.71,36.72,Clay,Zaid,8852.93,Not Suitable
FARM_0040,Sugarcane,48.83,Tube-well,4.07,17.69,348.43,Sandy,Kharif,345.38,Not Suitable
FARM_0041,Maize,8.8,Tube-well,3.54,7.96,32.66,Alluvial,Rabi,483.37,Not Suitable
FARM_0042,Rice,41.21,Rain-fed,4.37,4.85,170.38,Alluvial,Rabi,6634.33,Suitable
FARM_0043,Maize,32.43,Rain-fed,2.06,19.63,166.54,Loamy,Rabi,5408.54,Suitable
FARM_0044,Wheat,48.16,Tube-well,1.4,2.61,170.9,Clay,Zaid,4402.18,Not Suitable
FARM_0045,Maize,45.08,Canal,1.03,1.37,174.03,Alluvial,Rabi,4416.97,Suitable
FARM_0046,Sugarcane,4.43,Rain-fed,3.35,6.94,33.98,Sandy,Rabi,3207.76,Not Suitable
FARM_0047,Maize,21.01,Rain-fed,2.07,6.27,74.76,Black,Zaid,1360.15,Suitable
FARM_0048,Cotton,27.85,Rain-fed,0.1,6.09,74.08,Sandy,Rabi,4355.89,Not Suitable
FARM_0049,Maize,34.11,Drip,2.6,15.98,154.09,Alluvial,Rabi,9602.34,Suitable
FARM_0050,Wheat,41.1,Rain-fed,3.78,13.62,93.62,Clay,Kharif,2323.94,Not Suitable
FARM_0051,Wheat,30.95,Tube-well,3.87,9.38,98.47,Loamy,Rabi,8872.76,Suitable
FARM_0052,Cotton,8.23,Drip,3.47,17.91,26.92,Alluvial,Kharif,8618.36,Suitable
FARM_0053,Cotton,26.38,Tube-well,0.35,5.36,63.65,Sandy,Zaid,8498.53,Not Suitable
FARM_0054,Cotton,31.02,Rain-fed,3.62,10.34,80.52,Black,Rabi,8322.63,Suitable
FARM_0055,Rice,37.84,Drip,4.22,5.91,168.18,Alluvial,Rabi,7798.98,Suitable
FARM_0056,Rice,35.96,Drip,1.25,7.05,107.52,Clay,Kharif,8940.97,Not Suitable
FARM_0057,Rice,8.49,Drip,1.15,8.59,37.16,Sandy,Zaid,3375.73,Not Suitable
FARM_0058,Wheat,45.34,Drip,2.96,14.06,164.92,Sandy,Rabi,8581.65,Not Suitable
FARM_0059,Cotton,15.63,Canal,2.01,17.89,40.27,Alluvial,Rabi,8373.71,Suitable
FARM_0060,Sugarcane,11.75,Tube-well,2.24,1.07,80.6,Black,Rabi,3427.68,Suitable
FARM_0061,Cotton,49.06,Drip,2.72,18.19,138.64,Sandy,Kharif,5959.74,Not Suitable
